NOMBRE DEL INDICADOR,variable,value,año,mes
Morosidad de Cartera de Consumo,BP GUAYAQUIL,1.42495144,2022,1
Morosidad de Cartera de Vivienda,BP GUAYAQUIL,2.20542275,2022,1
Morosidad de Cartera Productiva,BP GUAYAQUIL,0.8039374,2022,1
Morosidad de Cartera de Microcrédito,BP GUAYAQUIL,2.99143192,2022,1
Morosidad de Cartera de Consumo,BP PACIFICO,3.2260564,2022,1
Morosidad de Cartera de Vivienda,BP PACIFICO,4.03079804,2022,1
Morosidad de Cartera Productiva,BP PACIFICO,2.17062237,2022,1
Morosidad de Cartera de Microcrédito,BP PACIFICO,29.36825137,2022,1
Morosidad de Cartera de Consumo,BP PICHINCHA,3.2346503999999996,2022,1
Morosidad de Cartera de Vivienda,BP PICHINCHA,4.52705712,2022,1
Morosidad de Cartera Productiva,BP PICHINCHA,1.6701855799999998,2022,1
Morosidad de Cartera de Microcrédito,BP PICHINCHA,3.9070895699999997,2022,1
Morosidad de Cartera de Consumo,BP PRODUBANCO,3.2538040999999995,2022,1
Morosidad de Cartera de Vivienda,BP PRODUBANCO,3.22790294,2022,1
Morosidad de Cartera Productiva,BP PRODUBANCO,0.54208071,2022,1
Morosidad de Cartera de Microcrédito,BP PRODUBANCO,3.1584478300000005,2022,1
Morosidad de Cartera de Consumo,BANCOS PRIVADOS GRANDES,2.87852964,2022,1
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS GRANDES,3.91655188,2022,1
Morosidad de Cartera Productiva,BANCOS PRIVADOS GRANDES,1.23932282,2022,1
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS GRANDES,3.8867678199999998,2022,1
Morosidad de Cartera de Consumo,BP AUSTRO,7.344276600000001,2022,1
Morosidad de Cartera de Vivienda,BP AUSTRO,1.6077422000000001,2022,1
Morosidad de Cartera Productiva,BP AUSTRO,1.36843914,2022,1
Morosidad de Cartera de Microcrédito,BP AUSTRO,15.07557604,2022,1
Morosidad de Cartera de Consumo,BP BOLIVARIANO,3.22753087,2022,1
Morosidad de Cartera de Vivienda,BP BOLIVARIANO,3.7096417299999995,2022,1
Morosidad de Cartera Productiva,BP BOLIVARIANO,0.26133658000000004,2022,1
Morosidad de Cartera de Microcrédito,BP BOLIVARIANO,0,2022,1
Morosidad de Cartera de Consumo,BP CITIBANK,0,2022,1
Morosidad de Cartera de Vivienda,BP CITIBANK,0,2022,1
Morosidad de Cartera Productiva,BP CITIBANK,9.300000000000001e-7,2022,1
Morosidad de Cartera de Microcrédito,BP CITIBANK,0,2022,1
Morosidad de Cartera de Consumo,BP DINERS,3.8568696800000004,2022,1
Morosidad de Cartera de Vivienda,BP DINERS,0,2022,1
Morosidad de Cartera Productiva,BP DINERS,2.37263294,2022,1
Morosidad de Cartera de Microcrédito,BP DINERS,0,2022,1
Morosidad de Cartera de Consumo,BP GENERAL RUMIÑAHUI,1.7155971799999998,2022,1
Morosidad de Cartera de Vivienda,BP GENERAL RUMIÑAHUI,2.43854879,2022,1
Morosidad de Cartera Productiva,BP GENERAL RUMIÑAHUI,2.30321465,2022,1
Morosidad de Cartera de Microcrédito,BP GENERAL RUMIÑAHUI,100,2022,1
Morosidad de Cartera de Consumo,BP INTERNACIONAL,4.33844788,2022,1
Morosidad de Cartera de Vivienda,BP INTERNACIONAL,2.69199492,2022,1
Morosidad de Cartera Productiva,BP INTERNACIONAL,0.13649075,2022,1
Morosidad de Cartera de Microcrédito,BP INTERNACIONAL,6.39993076,2022,1
Morosidad de Cartera de Consumo,BP LOJA,1.9546068900000002,2022,1
Morosidad de Cartera de Vivienda,BP LOJA,2.2704883700000003,2022,1
Morosidad de Cartera Productiva,BP LOJA,3.29176255,2022,1
Morosidad de Cartera de Microcrédito,BP LOJA,2.41529802,2022,1
Morosidad de Cartera de Consumo,BP MACHALA,2.28088581,2022,1
Morosidad de Cartera de Vivienda,BP MACHALA,1.6719795499999999,2022,1
Morosidad de Cartera Productiva,BP MACHALA,0.53759358,2022,1
Morosidad de Cartera de Microcrédito,BP MACHALA,6.0051475299999995,2022,1
Morosidad de Cartera de Consumo,BP SOLIDARIO,3.61167134,2022,1
Morosidad de Cartera de Vivienda,BP SOLIDARIO,63.4923633,2022,1
Morosidad de Cartera Productiva,BP SOLIDARIO,0.09280559,2022,1
Morosidad de Cartera de Microcrédito,BP SOLIDARIO,3.2889205999999995,2022,1
Morosidad de Cartera de Consumo,BANCOS PRIVADOS MEDIANOS,3.83792421,2022,1
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS MEDIANOS,2.59842356,2022,1
Morosidad de Cartera Productiva,BANCOS PRIVADOS MEDIANOS,0.49499434999999997,2022,1
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS MEDIANOS,3.38220643,2022,1
